ssp,pc1,pc2,pc3,pe1,pe2,pcd,parasitism,peavg,pcavg,pitavg
Tapirira guianensis,0.358,0.34,0.371,0.313,0.338,1.005,Host,0.3255,0.356333333333333,0.344
Tapirira guianensis,0.324,0.39,0.35,0.294,0.301,1.075,Host,0.2975,0.354666666666667,0.3318
Tapirira guianensis,0.309,0.272,0.306,0.293,0.265,0.512,Host,0.279,0.295666666666667,0.289
Tapirira guianensis,0.316,0.306,0.299,0.267,0.353,1.019,Host,0.31,0.307,0.3082
Tapirira guianensis,0.296,0.312,0.3,0.321,0.244,0.588,Host,0.2825,0.302666666666667,0.2946
Tapirira guianensis,0.339,0.3,0.331,0.318,0.278,1.03,Host,0.298,0.323333333333333,0.3132
Tapirira guianensis,0.37,0.364,0.448,0.384,0.305,0.608,Host,0.3445,0.394,0.3742
Tapirira guianensis,0.339,0.327,0.348,0.322,0.432,0.951,Host,0.377,0.338,0.3536
Tapirira guianensis,0.349,0.36,0.349,0.282,0.348,0.86,Host,0.315,0.352666666666667,0.3376
Tapirira guianensis,0.463,0.487,0.449,0.419,0.426,0.631,Host,,,
Tapirira guianensis,0.307,0.379,0.331,0.312,0.315,1.286,Host,0.3135,0.339,0.3288
Tapirira guianensis,0.351,0.303,0.242,0.31,0.341,1.268,Host,0.3255,0.298666666666667,0.3094
Tapirira guianensis,0.233,0.367,0.334,0.488,0.331,1.48,Host,,0.311333333333333,0.3506
Tapirira guianensis,0.371,0.39,0.39,0.304,0.337,0.699,Host,0.3205,0.383666666666667,0.3584
Tapirira guianensis,0.382,0.383,0.32,0.265,0.301,1.431,Host,0.283,0.361666666666667,0.3302
Tapirira guianensis,0.363,0.325,0.294,0.288,0.303,0.867,Host,0.2955,0.327333333333333,0.3146
Tapirira guianensis,0.409,0.369,0.331,0.417,0.286,0.685,Host,0.3515,0.369666666666667,0.3624
Tapirira guianensis,0.244,0.265,0.26,0.262,0.264,1.179,Host,0.263,0.256333333333333,0.259
Tipuana tipu,0.384,0.421,0.404,0.251,0.287,0.466,Host,0.269,0.403,0.3494
Tipuana tipu,0.402,0.434,0.43,0.341,0.484,0.481,Host,0.4125,0.422,0.4182
Tipuana tipu,0.336,0.357,0.39,0.328,0.299,0.649,Host,0.3135,0.361,0.342
Tipuana tipu,0.35,0.37,0.387,0.266,0.311,0.895,Host,0.2885,0.369,0.3368
Tipuana tipu,0.358,0.371,0.398,0.297,0.326,0.742,Host,0.3115,0.375666666666667,0.35
Tipuana tipu,0.413,0.401,0.381,0.309,0.329,1.031,Host,0.319,0.398333333333333,0.3666
Tipuana tipu,0.49,0.43,0.468,0.385,0.355,0.366,Host,0.37,0.462666666666667,0.4256
Tipuana tipu,0.54,0.533,0.52,0.372,0.34,0.422,Host,0.356,0.531,0.461
Tipuana tipu,0.472,0.462,0.436,0.334,0.331,0.623,Host,0.3325,0.456666666666667,0.407
Tipuana tipu,0.384,0.311,0.298,0.26,0.284,0.267,Host,0.272,0.331,0.3074
Tipuana tipu,0.273,0.238,0.267,0.401,0.351,0.36,Host,0.376,0.259333333333333,0.306
Tipuana tipu,0.32,0.337,0.334,0.34,0.227,0.869,Host,0.2835,0.330333333333333,0.3116
Tipuana tipu,0.348,0.295,0.323,0.257,0.223,0.434,Host,0.24,0.322,0.2892
Tipuana tipu,0.381,0.349,0.347,0.266,0.27,0.435,Host,0.268,0.359,0.3226
Tipuana tipu,0.302,0.386,0.309,0.255,0.32,0.781,Host,0.2875,0.332333333333333,0.3144
Tipuana tipu,0.279,0.299,0.325,0.245,0.199,0.796,Host,0.222,0.301,0.2694
Tipuana tipu,0.46,0.504,0.456,0.381,0.334,0.42,Host,0.3575,0.473333333333333,0.427
Tipuana tipu,0.403,0.392,0.452,0.315,0.304,0.606,Host,0.3095,0.415666666666667,0.3732
Tipuana tipu,0.223,0.296,0.33,0.234,0.206,0.419,Host,0.22,0.283,0.2578
Tipuana tipu,0.521,0.552,0.513,0.382,0.346,0.967,Host,0.364,0.528666666666667,0.4628
Tipuana tipu,0.258,0.266,0.287,0.167,0.213,0.893,Host,0.19,0.270333333333333,0.2382
Tipuana tipu,0.317,0.399,0.438,0.345,0.371,1.253,Host,0.358,0.384666666666667,0.374
Tipuana tipu,0.375,0.336,0.365,0.282,0.247,0.876,Host,0.2645,0.358666666666667,0.321
Tipuana tipu,0.485,0.511,0.477,0.397,0.319,1.05,Host,0.358,0.491,0.4378
Tipuana tipu,0.458,0.4,0.366,0.274,0.283,1.11,Host,0.2785,0.408,0.3562
Tipuana tipu,0.441,0.459,0.356,0.325,0.356,0.777,Host,0.3405,0.418666666666667,0.3874
Tipuana tipu,0.341,0.345,0.31,0.327,0.296,0.813,Host,0.3115,0.332,0.3238
Tipuana tipu,0.387,0.378,0.375,0.269,0.281,1.422,Host,0.275,0.38,0.338
Tipuana tipu,,,,,,1.544,Host,,,
Tipuana tipu,,,,,,1.6,Host,,,
Struthanthus rhynchophyllus,0.753,0.863,0.816,0.555,0.665,0.618,Parasite,0.61,0.810666666666667,0.7304
Struthanthus rhynchophyllus,0.769,0.803,0.773,0.635,0.656,0.507,Parasite,0.6455,0.781666666666667,0.7272
Struthanthus rhynchophyllus,0.711,0.794,0.78,0.527,0.645,0.467,Parasite,0.586,0.761666666666667,0.6914
Struthanthus rhynchophyllus,0.735,0.779,0.729,0.538,0.596,0.605,Parasite,0.567,0.747666666666667,0.6754
Struthanthus rhynchophyllus,0.688,0.725,0.733,0.543,0.608,0.573,Parasite,0.5755,0.715333333333333,0.6594
Struthanthus rhynchophyllus,0.672,0.671,0.66,0.532,0.555,0.678,Parasite,0.5435,0.667666666666667,0.618
Struthanthus rhynchophyllus,0.81,0.856,0.877,0.612,0.784,0.552,Parasite,0.698,0.847666666666667,0.7878
Struthanthus rhynchophyllus,0.903,0.986,0.996,0.67,0.71,0.422,Parasite,0.69,0.961666666666667,0.853
Struthanthus rhynchophyllus,1.058,0.884,0.96,0.63,0.875,0.5,Parasite,0.7525,0.967333333333333,0.8814
Struthanthus rhynchophyllus,0.917,0.988,0.862,0.648,0.6,0.514,Parasite,0.624,0.922333333333333,0.803
Struthanthus rhynchophyllus,0.755,0.887,0.802,0.65,0.639,0.335,Parasite,0.6445,0.814666666666667,0.7466
Struthanthus rhynchophyllus,0.747,0.741,0.683,0.674,0.689,0.3,Parasite,0.6815,0.723666666666667,0.7068
Struthanthus rhynchophyllus,0.889,0.849,0.794,0.662,0.703,0.346,Parasite,0.6825,0.844,0.7794
Struthanthus rhynchophyllus,0.999,1.067,1.088,0.876,0.77,0.38,Parasite,0.823,1.05133333333333,0.96
Struthanthus rhynchophyllus,0.855,0.897,0.838,0.73,0.721,0.512,Parasite,0.7255,0.863333333333333,0.8082
Struthanthus rhynchophyllus,0.916,0.935,0.847,0.731,0.761,0.503,Parasite,0.746,0.899333333333333,0.838
Struthanthus rhynchophyllus,1.123,1.149,1.051,0.957,0.827,0.469,Parasite,0.892,1.10766666666667,
Struthanthus rhynchophyllus,0.961,1.023,0.95,0.743,0.845,0.447,Parasite,0.794,0.978,0.9044
Struthanthus rhynchophyllus,0.844,0.87,0.865,0.766,0.727,0.583,Parasite,0.7465,0.859666666666667,0.8144
Struthanthus rhynchophyllus,0.68,0.753,0.713,0.618,0.63,0.474,Parasite,0.624,0.715333333333333,0.6788
Struthanthus rhynchophyllus,0.928,1.036,0.99,0.626,0.863,0.537,Parasite,0.7445,0.984666666666667,0.8886
Struthanthus rhynchophyllus,0.714,0.826,0.824,0.646,0.584,0.427,Parasite,0.615,0.788,0.7188
Struthanthus rhynchophyllus,0.768,0.775,0.676,0.598,0.762,0.36,Parasite,0.68,0.739666666666667,0.7158
Struthanthus rhynchophyllus,0.823,0.822,0.806,0.695,0.733,,Parasite,0.714,0.817,0.7758
Struthanthus rhynchophyllus,0.806,0.839,0.932,0.679,0.633,0.56,Parasite,0.656,0.859,0.7778
Struthanthus rhynchophyllus,0.658,0.713,0.709,0.662,0.63,0.505,Parasite,0.646,0.693333333333333,0.6744
Struthanthus rhynchophyllus,0.625,0.634,0.675,0.626,0.627,0.594,Parasite,0.6265,0.644666666666667,0.6374
Struthanthus rhynchophyllus,,,,,,0.372,Parasite,,,
Struthanthus rhynchophyllus,,,,,,0.434,Parasite,,,
Struthanthus rhynchophyllus,,,,,,0.545,Parasite,,,
Viscum album,0.527,0.588,0.605,0.409,0.528,0.38,Parasite,0.4685,0.573333333333333,0.5314
Viscum album,0.81,0.86,0.867,0.667,0.834,0.213,Parasite,,,
Viscum album,0.569,0.6,0.551,0.484,0.407,0.158,Parasite,0.4455,0.573333333333333,0.5222
Viscum album,0.569,0.578,0.561,0.456,0.464,0.238,Parasite,0.46,0.569333333333333,0.5256
Viscum album,0.564,0.576,0.526,0.512,0.507,0.294,Parasite,0.5095,0.555333333333333,0.537
Viscum album,0.622,0.611,0.581,0.519,0.413,0.284,Parasite,0.466,0.604666666666667,0.5492
Viscum album,0.493,0.568,0.586,0.396,0.398,0.271,Parasite,0.397,0.549,0.4882
Viscum album,0.595,0.6,0.59,0.433,0.513,0.285,Parasite,0.473,0.595,0.5462
Viscum album,0.611,0.642,0.529,0.426,0.497,0.328,Parasite,0.4615,0.594,0.541
Viscum album,0.589,0.617,0.589,0.488,0.528,0.348,Parasite,0.508,0.598333333333333,0.5622
Viscum album,0.467,0.511,0.503,0.356,0.332,0.213,Parasite,0.344,0.493666666666667,0.4338
Viscum album,0.408,0.449,0.433,0.314,0.361,0.311,Parasite,0.3375,,0.393
Viscum album,0.413,0.401,0.335,0.299,0.343,0.407,Parasite,0.321,,
Viscum album,0.603,0.548,0.565,0.376,0.415,0.24,Parasite,0.3955,0.572,0.5014
Viscum album,0.577,0.602,0.554,0.416,0.528,0.224,Parasite,0.472,0.577666666666667,0.5354
Viscum album,0.517,0.58,0.595,0.504,0.386,0.302,Parasite,0.445,0.564,0.5164
Viscum album,0.439,0.427,0.428,0.294,0.378,0.359,Parasite,0.336,,0.3932
Viscum album,0.482,0.527,0.517,0.444,0.32,0.241,Parasite,0.382,0.508666666666667,0.458
Viscum album,0.619,0.63,0.593,0.474,0.581,0.176,Parasite,0.5275,0.614,0.5794
Viscum album,0.798,0.82,0.824,0.705,0.699,0.199,Parasite,0.702,,
Viscum album,0.865,0.942,0.776,0.562,0.708,0.186,Parasite,0.635,,
Viscum album,0.782,0.805,0.73,0.649,0.539,0.296,Parasite,0.594,,0.701
Viscum album,0.507,0.588,0.563,0.499,0.334,0.24,Parasite,0.4165,0.552666666666667,0.4982
Viscum album,0.571,0.612,0.585,0.562,0.494,0.314,Parasite,0.528,0.589333333333333,0.5648
Viscum album,0.681,0.654,0.595,0.448,0.645,0.292,Parasite,0.5465,0.643333333333333,0.6046
Viscum album,0.641,0.679,0.72,0.541,0.465,0.17,Parasite,0.503,0.68,0.6092
Viscum album,0.61,0.647,0.608,0.461,0.519,0.149,Parasite,0.49,0.621666666666667,0.569
Viscum album,0.798,0.9,0.879,0.614,0.75,0.29,Parasite,0.682,,
Viscum album,0.473,0.507,0.503,0.417,0.362,0.373,Parasite,0.3895,0.494333333333333,0.4524
Viscum album,0.616,0.607,0.533,0.488,0.357,0.272,Parasite,0.4225,0.585333333333333,0.5202
Populus nigra,0.219,0.157,0.162,0.198,0.163,0.469,Host,0.1805,0.179333333333333,0.1798
Populus nigra,0.225,0.181,0.162,0.107,0.171,0.61,Host,0.139,0.189333333333333,0.1692
Populus nigra,0.307,0.299,0.269,0.202,0.286,1.211,Host,0.244,0.291666666666667,0.2726
Populus nigra,0.322,0.352,0.324,0.266,0.285,0.556,Host,0.2755,0.332666666666667,0.3098
Populus nigra,0.345,0.313,0.336,0.216,0.246,1.048,Host,0.231,0.331333333333333,0.2912
Populus nigra,0.239,0.317,0.281,0.263,0.257,,Host,0.26,0.279,0.2714
Populus nigra,0.274,0.214,0.303,0.208,0.192,0.709,Host,0.2,0.263666666666667,0.2382
Populus nigra,0.284,0.363,0.422,0.186,0.193,0.381,Host,0.1895,0.356333333333333,0.2896
Populus nigra,0.234,0.277,0.283,0.211,0.178,0.514,Host,0.1945,0.264666666666667,0.2366
Populus nigra,0.173,0.194,0.178,0.208,0.173,0.757,Host,0.1905,0.181666666666667,0.1852
Populus nigra,0.17,0.194,0.192,0.225,0.22,0.585,Host,0.2225,0.185333333333333,0.2002
Populus nigra,0.22,0.21,0.231,0.164,0.173,0.558,Host,0.1685,0.220333333333333,0.1996
Populus nigra,0.194,0.202,0.243,0.258,0.181,0.765,Host,0.2195,0.213,0.2156
Populus nigra,0.201,0.177,0.189,0.159,0.133,0.918,Host,0.146,0.189,0.1718
Populus nigra,0.192,0.216,0.301,0.188,0.22,0.842,Host,0.204,0.236333333333333,0.2234
Populus nigra,0.206,0.219,0.176,0.191,0.213,0.441,Host,0.202,0.200333333333333,0.201
Populus nigra,0.417,0.353,0.379,0.296,0.315,0.598,Host,,0.383,
Populus nigra,0.167,0.193,0.216,0.205,0.168,0.634,Host,0.1865,0.192,0.1898
Populus nigra,0.281,0.266,0.222,0.185,0.234,0.927,Host,0.2095,0.256333333333333,0.2376
Populus nigra,0.208,0.203,0.276,0.22,0.152,0.716,Host,0.186,0.229,0.2118
Populus nigra,0.266,0.245,0.254,0.265,0.232,0.72,Host,0.2485,0.255,0.2524
Populus nigra,0.261,0.304,0.256,0.216,0.248,0.875,Host,0.232,0.273666666666667,0.257
Populus nigra,0.249,0.205,0.228,0.177,0.225,0.634,Host,0.201,0.227333333333333,0.2168
Populus nigra,0.195,0.24,0.235,0.203,0.186,0.596,Host,0.1945,0.223333333333333,0.2118
Populus nigra,0.162,0.161,0.2,0.167,0.165,0.454,Host,0.166,0.174333333333333,0.171
Populus nigra,0.149,0.16,0.162,0.156,0.185,0.514,Host,0.1705,0.157,0.1624
Populus nigra,0.207,0.227,0.228,0.223,0.19,0.372,Host,0.2065,0.220666666666667,0.215
Populus nigra,,,,,,0.483,Host,,,
Populus nigra,,,,,,0.84,Host,,,
Populus nigra,,,,,,0.735,Host,,,
